web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1718834952-50","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","","Rp 13.200"
"1718834952-51","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","","Rp 16.000"
"1718834952-52","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","","Rp 18.200"
"1718834952-53","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Honey Crunch 55G","","Rp 10.900"
"1718834952-54","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 26.000"
"1718834952-55","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1718834952-56","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 4.500"
"1718834952-57","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 6.900"
"1718834952-58","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 30G","","Rp 9.100"
"1718834952-59","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1718834952-60","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 29.100"
"1718834952-61","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 25.000"
"1718834952-62","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 21.000"
"1718834952-63","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1718834952-64","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1718834952-65","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1718834952-66","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","","Rp 12.000"
"1718834952-67","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","","Rp 10.000"
"1718834952-68","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","","Rp 18.500"
"1718834952-69","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","","Rp 16.500"
"1718834952-70","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","","Rp 17.500"
"1718834952-71","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","","Rp 9.100"
"1718834952-72","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.100"
"1718834952-73","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1718834952-74","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","","Rp 23.300"
"1718834952-75","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 70G","","Rp 9.700"
"1718834952-76","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Cookie 14.5G","","Rp 4.000"
"1718834952-77","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 230G","","Rp 59.000"
"1718834952-78","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Custard Pisang & Cokelat","","Rp 4.000"
"1718834952-79","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Mentega Gula & Chocochip","","Rp 4.000"
"1718834952-80","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Cokelat 50G","","Rp 4.500"
"1718834952-81","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Tiramisu 50G","","Rp 4.500"
"1718834952-82","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Cokelat","","Rp 3.500"
"1718834952-83","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Jagung Manis","","Rp 3.500"
"1718834952-84","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Keju","","Rp 3.500"
"1718834952-85","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Moka","","Rp 3.500"
"1718834952-86","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Vanila","","Rp 3.500"
"1718834952-87","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal (Reff) Merah 200G","","Rp 13.900"
"1718834952-88","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","","Rp 27.200"
"1718834952-89","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","","Rp 27.200"
"1718834952-90","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Brownies 54G","","Rp 14.000"
"1718834952-91","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Red Velvet 54G","","Rp 16.500"
"1718834952-92","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Triple Choco 54G","","Rp 16.500"
"1718834952-93","https://www.klikindomaret.com/category/sarapan","Sari Roti Dorayaki Coklat 55G","","Rp 6.000"
"1718834952-94","https://www.klikindomaret.com/category/sarapan","Sari Roti Lapis Bamkuhen","","Rp 10.000"
"1718834952-95","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Bun 55g","","Rp 5.000"
"1718834952-96","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Cheese Bun 55G","","Rp 5.000"
"1718834952-97","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Kasur Keju 180G","","Rp 13.000"
"1718834952-98","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Coklat 114G","","Rp 10.000"
"1718834952-99","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Keju 107G","","Rp 10.500"
"1718834952-100","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Srikaya 108G","","Rp 10.500"
"1718834952-101","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft","","Rp 20.000"
"1718834952-102","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft Premium","","Rp 24.000"
"1718834952-103","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Gandum","","Rp 22.000"
"1718834952-104","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Jumbo Special","","Rp 18.000"
"1718834952-105","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Kupas Extra Kalsium 200G","","Rp 17.500"
"1718834952-106","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Milky Soft","","Rp 13.000"
"1718834952-107","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1718834952-108","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1718834952-109","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1718834952-110","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1718834952-111","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1718834952-112","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Coklat 34G","","Rp 7.900"
"1718834952-113","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Putih 34G","","Rp 7.900"
"1718834952-114","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips 220G","","Rp 29.900"
"1718834952-115","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 80G","","Rp 9.300"
"1718834952-116","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 150G","","Rp 21.900"
"1718834952-117","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 34G","","Rp 7.900"
"1718834952-118","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","","Rp 28.500"
"1718834952-119","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","","Rp 28.500"
"1718834952-120","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","","Rp 9.600"
"1718834952-121","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","","Rp 9.600"
"1718834952-122","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","","Rp 9.600"
"1718834952-123","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 500G","","Rp 67.900"
"1718834952-124","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X2g","","Rp 53.900"
"1718834952-125","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meisis Mix 225G","","Rp 12.200"
"1718834952-126","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Coco Fills 60G","","Rp 11.200"
